classificacao,nome_robo,pontuacao_final,sobrevivencia,bonus_ultima_sobrevivencia,dano_disparo,bonus_disparo_morte,colisao_dano,bonus_colisao_morte,1lugar,2lugar,3lugar
3,sample.SittingDuck,50,50,0,0,0,0,0,0,0,0
1,sample.Walls,1171,750,150,241,26,4,0,1,0,0
1,sample.SpinBot,1052,700,0,352,0,0,0,0,1,0
1,sample.Tracker,1007,650,0,308,49,0,0,0,0,1
1,sample.VelociRobot,909,600,0,160,25,124,0,0,0,0
1,sample.Fire,792,550,0,217,25,0,0,0,0,0
2,sample.Interactive,500,500,0,0,0,0,0,0,0,0
2,sample.Crazy,469,400,0,62,0,7,0,0,0,0
2,sample.Target,451,450,0,0,0,1,0,0,0,0
2,sample.MyFirstRobot,426,350,0,72,0,4,0,0,0,0
2,sample.RamFire,401,150,0,180,15,56,0,0,0,0
3,sample.Interactive_v2,300,300,0,0,0,0,0,0,0,0
3,sample.PaintingRobot,291,250,0,40,0,1,0,0,0,0
3,sample.SittingDuck,200,200,0,0,0,0,0,0,0,0
3,sample.Corners,160,100,0,60,0,0,0,0,0,0
3,sample.TrackFire,129,50,0,79,0,0,0,0,0,0
3,sample.MyFirstJuniorRobot,9,0,0,4,0,5,0,0,0,0
1,sample.Walls,1230,750,150,307,23,0,0,1,0,0
1,sample.SpinBot,1042,700,0,300,35,7,0,0,1,0
1,sample.TrackFire,955,650,0,286,19,0,0,0,0,1
1,sample.RamFire,817,450,0,244,10,83,30,0,0,0
1,sample.Tracker,738,500,0,181,32,25,0,0,0,0
2,sample.Crazy,620,550,0,64,0,6,0,0,0,0
2,sample.Target,600,600,0,0,0,0,0,0,0,0
2,sample.MyFirstJuniorRobot,439,350,0,73,9,7,0,0,0,0
2,sample.PaintingRobot,417,400,0,16,0,1,0,0,0,0
2,sample.MyFirstRobot,346,300,0,40,0,6,0,0,0,0
3,sample.Corners,301,200,0,86,13,1,0,0,0,0
3,sample.SittingDuck,250,250,0,0,0,0,0,0,0,0
3,sample.Fire,190,150,0,40,0,0,0,0,0,0
3,sample.VelociRobot,179,100,0,20,0,59,0,0,0,0
3,sample.Interactive_v2,50,50,0,0,0,0,0,0,0,0
3,sample.Interactive,0,0,0,0,0,0,0,0,0,0
1,sample.Walls,1193,750,150,274,11,8,0,1,0,0
1,sample.RamFire,971,650,0,208,0,72,41,0,0,1
1,sample.TrackFire,943,550,0,350,43,0,0,0,0,0
1,sample.Tracker,928,600,0,287,22,19,0,0,0,0
1,sample.Crazy,777,700,0,66,4,7,0,0,1,0
2,sample.VelociRobot,690,500,0,104,0,86,0,0,0,0
2,sample.PaintingRobot,516,450,0,59,2,5,0,0,0,0
2,sample.Corners,476,300,0,151,23,2,0,0,0,0
2,sample.Target,400,400,0,0,0,0,0,0,0,0
2,sample.Interactive_v2,350,350,0,0,0,0,0,0,0,0
3,sample.MyFirstJuniorRobot,275,250,0,24,0,1,0,0,0,0
3,sample.Fire,256,200,0,56,0,0,0,0,0,0
3,sample.Interactive,150,150,0,0,0,0,0,0,0,0
3,sample.SittingDuck,100,100,0,0,0,0,0,0,0,0
3,sample.MyFirstRobot,82,50,0,28,0,4,0,0,0,0
3,sample.SpinBot,76,0,0,48,0,28,0,0,0,0
1,sample.Walls,1240,750,150,298,34,8,0,1,0,0
1,sample.MyFirstJuniorRobot,875,700,0,171,4,0,0,0,1,0
1,sample.VelociRobot,853,650,0,154,11,37,0,0,0,1
1,sample.Fire,813,600,0,203,10,0,0,0,0,0
1,sample.Tracker,806,500,0,227,46,34,0,0,0,0
2,sample.PaintingRobot,616,550,0,60,0,6,0,0,0,0
2,sample.RamFire,591,450,0,112,0,29,0,0,0,0
2,sample.Crazy,528,400,0,116,0,12,0,0,0,0
2,sample.TrackFire,414,150,0,228,36,0,0,0,0,0
2,sample.MyFirstRobot,366,300,0,64,0,2,0,0,0,0
3,sample.Target,350,350,0,0,0,0,0,0,0,0
3,sample.Corners,349,250,0,88,11,0,0,0,0,0
3,sample.SittingDuck,200,200,0,0,0,0,0,0,0,0
3,sample.SpinBot,194,50,0,128,0,16,0,0,0,0
3,sample.Interactive,100,100,0,0,0,0,0,0,0,0
3,sample.Interactive_v2,0,0,0,0,0,0,0,0,0,0
1,sample.SpinBot,1297,750,150,355,42,0,0,1,0,0
1,sample.Corners,899,650,0,230,19,0,0,0,0,1
1,sample.Crazy,826,700,0,116,0,10,0,0,1,0
1,sample.TrackFire,808,550,0,250,9,0,0,0,0,0
1,sample.PaintingRobot,787,600,0,184,1,2,0,0,0,0
2,sample.RamFire,770,500,0,168,0,60,42,0,0,0
2,sample.VelociRobot,501,350,0,60,5,85,0,0,0,0
2,sample.MyFirstJuniorRobot,456,400,0,52,0,4,0,0,0,0
2,sample.SittingDuck,450,450,0,0,0,0,0,0,0,0
2,sample.MyFirstRobot,340,300,0,37,3,0,0,0,0,0
3,sample.Target,250,250,0,0,0,0,0,0,0,0
3,sample.Interactive_v2,200,200,0,0,0,0,0,0,0,0
3,sample.Fire,194,150,0,44,0,0,0,0,0,0
3,sample.Tracker,163,50,0,112,0,1,0,0,0,0
3,sample.Interactive,100,100,0,0,0,0,0,0,0,0
3,sample.Walls,90,0,0,90,0,0,0,0,0,0
1,sample.SpinBot,1305,750,150,341,49,14,0,1,0,0
1,sample.Fire,899,700,0,185,15,0,0,0,1,0
1,sample.TrackFire,862,450,0,355,57,0,0,0,0,0
1,sample.MyFirstRobot,795,650,0,144,0,1,0,0,0,1
1,sample.Corners,728,500,0,220,8,0,0,0,0,0
2,sample.Target,600,600,0,0,0,0,0,0,0,0
2,sample.Interactive,550,550,0,0,0,0,0,0,0,0
2,sample.Walls,544,300,0,227,13,4,0,0,0,0
2,sample.Tracker,480,350,0,128,0,2,0,0,0,0
2,sample.Crazy,479,400,0,72,0,7,0,0,0,0
3,sample.VelociRobot,377,250,0,80,0,47,0,0,0,0
3,sample.RamFire,321,100,0,154,0,48,19,0,0,0
3,sample.MyFirstJuniorRobot,249,200,0,44,0,5,0,0,0,0
3,sample.PaintingRobot,180,150,0,28,0,2,0,0,0,0
3,sample.SittingDuck,50,50,0,0,0,0,0,0,0,0
3,sample.Interactive_v2,0,0,0,0,0,0,0,0,0,0
1,sample.Walls,1202,750,150,271,26,5,0,1,0,0
1,sample.SpinBot,1163,700,0,415,38,10,0,0,1,0
1,sample.VelociRobot,833,600,0,183,7,35,8,0,0,0
1,sample.Crazy,773,650,0,104,0,19,0,0,0,1
1,sample.Corners,695,500,0,180,14,1,0,0,0,0
2,sample.PaintingRobot,674,550,0,120,0,4,0,0,0,0
2,sample.Tracker,512,250,0,215,29,18,0,0,0,0
2,sample.MyFirstRobot,485,400,0,80,0,5,0,0,0,0
2,sample.Target,452,450,0,0,0,2,0,0,0,0
2,sample.Fire,352,300,0,52,0,0,0,0,0,0
3,sample.SittingDuck,350,350,0,0,0,0,0,0,0,0
3,sample.RamFire,347,150,0,141,9,47,0,0,0,0
3,sample.Interactive,200,200,0,0,0,0,0,0,0,0
3,sample.MyFirstJuniorRobot,130,100,0,24,0,6,0,0,0,0
3,sample.TrackFire,50,50,0,0,0,0,0,0,0,0
3,sample.Interactive_v2,0,0,0,0,0,0,0,0,0,0
1,sample.Walls,1288,750,150,345,35,7,0,1,0,0
1,sample.RamFire,988,650,0,214,0,72,52,0,0,1
1,sample.Tracker,921,700,0,207,3,11,0,0,1,0
1,sample.SpinBot,833,550,0,241,21,20,0,0,0,0
1,sample.Corners,796,600,0,196,0,0,0,0,0,0
2,sample.Crazy,637,500,0,112,3,22,0,0,0,0
2,sample.TrackFire,611,350,0,249,13,0,0,0,0,0
2,sample.Fire,602,450,0,150,0,1,0,0,0,0
2,sample.PaintingRobot,428,350,0,72,0,6,0,0,0,0
2,sample.Target,302,300,0,0,0,2,0,0,0,0
3,sample.Interactive_v2,250,250,0,0,0,0,0,0,0,0
3,sample.SittingDuck,200,200,0,0,0,0,0,0,0,0
3,sample.MyFirstJuniorRobot,186,150,0,36,0,0,0,0,0,0
3,sample.VelociRobot,128,50,0,40,0,38,0,0,0,0
3,sample.Interactive,100,100,0,0,0,0,0,0,0,0
3,sample.MyFirstRobot,17,0,0,16,0,1,0,0,0,0
1,sample.Walls,1201,750,150,263,35,4,0,1,0,0
1,sample.Tracker,1069,700,0,308,52,8,0,0,1,0
1,sample.Fire,908,600,0,296,12,0,0,0,0,0
1,sample.Corners,825,550,0,252,23,0,0,0,0,0
1,sample.Crazy,770,650,0,100,0,20,0,0,0,1
2,sample.SpinBot,615,350,0,250,2,13,0,0,0,0
2,sample.PaintingRobot,590,500,0,88,0,2,0,0,0,0
2,sample.MyFirstRobot,519,450,0,68,0,1,0,0,0,0
2,sample.Interactive_v2,400,400,0,0,0,0,0,0,0,0
2,sample.VelociRobot,316,200,0,68,0,48,0,0,0,0
3,sample.Interactive,300,300,0,0,0,0,0,0,0,0
3,sample.SittingDuck,250,250,0,0,0,0,0,0,0,0
3,sample.RamFire,217,50,0,84,0,50,33,0,0,0
3,sample.Target,150,150,0,0,0,0,0,0,0,0
3,sample.MyFirstJuniorRobot,144,100,0,36,0,8,0,0,0,0
3,sample.TrackFire,119,0,0,99,20,0,0,0,0,0
1,sample.Walls,1255,750,150,301,52,1,0,1,0,0
1,sample.Tracker,1069,700,0,329,40,0,0,0,1,0
1,sample.SpinBot,1054,650,0,384,0,20,0,0,0,1
1,sample.MyFirstJuniorRobot,768,600,0,157,9,2,0,0,0,0
1,sample.TrackFire,750,450,0,262,38,0,0,0,0,0
2,sample.PaintingRobot,680,550,0,128,0,2,0,0,0,0
2,sample.Fire,653,500,0,147,4,2,0,0,0,0
2,sample.Crazy,415,350,0,59,0,6,0,0,0,0
2,sample.SittingDuck,400,400,0,0,0,0,0,0,0,0
2,sample.RamFire,381,250,0,112,0,19,0,0,0,0
3,sample.Target,300,300,0,0,0,0,0,0,0,0
3,sample.VelociRobot,251,150,0,42,2,56,0,0,0,0
3,sample.Interactive_v2,200,200,0,0,0,0,0,0,0,0
3,sample.Corners,148,100,0,48,0,0,0,0,0,0
3,sample.Interactive,50,50,0,0,0,0,0,0,0,0
3,sample.MyFirstRobot,4,0,0,4,0,0,0,0,0,0
1,sample.Walls,1277,750,150,323,27,11,16,1,0,0
1,sample.TrackFire,1234,700,0,497,37,0,0,0,1,0
1,sample.SpinBot,919,650,0,256,0,13,0,0,0,1
1,sample.VelociRobot,795,550,0,155,3,88,0,0,0,0
1,sample.PaintingRobot,663,600,0,60,2,0,0,0,0,0
2,sample.Fire,572,500,0,72,0,0,0,0,0,0
2,sample.MyFirstRobot,536,450,0,78,1,7,0,0,0,0
2,sample.Crazy,450,350,0,83,3,13,0,0,0,0
2,sample.Interactive_v2,400,400,0,0,0,0,0,0,0,0
2,sample.RamFire,338,150,0,114,27,47,0,0,0,0
3,sample.Target,300,300,0,0,0,0,0,0,0,0
3,sample.SittingDuck,250,250,0,0,0,0,0,0,0,0
3,sample.Interactive,200,200,0,0,0,0,0,0,0,0
3,sample.MyFirstJuniorRobot,129,100,0,24,0,5,0,0,0,0
3,sample.Corners,117,0,0,116,0,1,0,0,0,0
3,sample.Tracker,115,50,0,64,0,1,0,0,0,0
1,sample.Walls,1170,750,150,250,18,2,0,1,0,0
1,sample.TrackFire,1148,700,0,393,54,0,0,0,1,0
1,sample.SpinBot,894,650,0,232,11,1,0,0,0,1
1,sample.Tracker,889,600,0,255,29,5,0,0,0,0
1,sample.Fire,780,500,0,255,19,6,0,0,0,0
2,sample.Crazy,616,550,0,56,0,10,0,0,0,0
2,sample.RamFire,599,400,0,147,12,40,0,0,0,0
2,sample.MyFirstRobot,541,450,0,83,5,4,0,0,0,0
2,sample.Interactive_v2,350,350,0,0,0,0,0,0,0,0
2,sample.MyFirstJuniorRobot,330,250,0,72,0,8,0,0,0,0
3,sample.Target,302,300,0,0,0,2,0,0,0,0
3,sample.VelociRobot,257,150,0,52,0,55,0,0,0,0
3,sample.PaintingRobot,244,200,0,40,0,4,0,0,0,0
3,sample.Corners,128,100,0,28,0,0,0,0,0,0
3,sample.SittingDuck,50,50,0,0,0,0,0,0,0,0
3,sample.Interactive,0,0,0,0,0,0,0,0,0,0
1,sample.Walls,1204,750,150,260,34,10,0,1,0,0
1,sample.SpinBot,1189,700,0,464,0,25,0,0,1,0
1,sample.Corners,919,600,0,289,30,0,0,0,0,0
